iter	Logloss
0	0.6820077889
1	0.674487653
2	0.6669818471
3	0.6599029658
4	0.653217884
5	0.6445439158
6	0.6374317951
7	0.6319051035
8	0.6267278486
9	0.6199292715
10	0.6136488772
11	0.609279707
12	0.6043766092
13	0.6003273369
14	0.5961158563
15	0.5926749668
16	0.5870975611
17	0.584101363
18	0.5804815949
19	0.5756756419
20	0.5732378164
21	0.5708749577
22	0.5678765016
23	0.5650749465
24	0.5614366599
25	0.5592855307
26	0.5559656888
27	0.5543148063
28	0.5525446447
29	0.5506315124
30	0.5472709056
31	0.5458367059
32	0.5431790924
33	0.5411588819
34	0.5397508991
35	0.5368189353
36	0.5355177735
37	0.533247336
38	0.5310110602
39	0.5292814694
40	0.5273040318
41	0.5254053717
42	0.5243229678
43	0.5228645564
44	0.5213914401
45	0.5202631947
46	0.5192757639
47	0.518574691
48	0.5173858466
49	0.5164583642
50	0.5151511626
51	0.5143571469
52	0.512781147
53	0.5117526674
54	0.5106573534
55	0.5095516392
56	0.5088387681
57	0.5074762933
58	0.5065947588
59	0.5056627053
60	0.5052063305
61	0.5043218137
62	0.5033819374
63	0.5023760616
64	0.5012730631
65	0.5003936933
66	0.4997384117
67	0.4993212094
68	0.4982955546
69	0.4975264837
70	0.4967470666
71	0.4959949739
72	0.4954703894
73	0.4945907738
74	0.4940260402
75	0.4933566017
76	0.4925463502
77	0.4916322599
78	0.4906912806
79	0.4901929519
80	0.4896054771
81	0.4890359488
82	0.4884401818
83	0.4881156319
84	0.4875674598
85	0.4870971489
86	0.4867751132
87	0.4864792601
88	0.4857915756
89	0.4854133144
90	0.4846889725
91	0.48440159
92	0.4838653616
93	0.483535732
94	0.4830701582
95	0.48277937
96	0.4823162452
97	0.4819711363
98	0.4817837586
99	0.4814382213
100	0.4811383197
101	0.4808408796
102	0.4804110789
103	0.4798620363
104	0.4795810293
105	0.478767467
106	0.4783009209
107	0.4781068725
108	0.4779475392
109	0.4777739701
110	0.4774895348
111	0.4772011753
112	0.4768775178
113	0.4762978228
114	0.4758090029
115	0.4756415611
116	0.4751823919
117	0.474741631
118	0.4740865928
119	0.4736468818
120	0.4733939704
121	0.4731697952
122	0.4725358888
123	0.4720042177
124	0.4718571111
125	0.4715278307
126	0.4713737122
127	0.4708617013
128	0.4704373717
129	0.4699902133
130	0.4696197071
131	0.4694904448
132	0.469186101
133	0.4690150081
134	0.4687871698
135	0.468530336
136	0.4682902174
137	0.4678153074
138	0.4675662183
139	0.4673876689
140	0.4671729028
141	0.4668168998
142	0.4666172963
143	0.4662477859
144	0.4660955504
145	0.4659301323
146	0.4658214402
147	0.4655126619
148	0.4653743122
149	0.4652710613
150	0.4651134719
151	0.4649171522
152	0.4647364485
153	0.4645547446
154	0.4644387618
155	0.4640900767
156	0.4637378583
157	0.463600791
158	0.4635303204
159	0.4633871343
160	0.4632917728
161	0.4629942471
162	0.4628421709
163	0.4624209241
164	0.4622458939
165	0.4620093607
166	0.4617248976
167	0.4615513728
168	0.4613956003
169	0.4612297686
170	0.4610195662
171	0.4609199677
172	0.4607891367
173	0.4606994858
174	0.4604407511
175	0.459971167
176	0.4598777325
177	0.4598364018
178	0.459607775
179	0.4593877069
180	0.4589869391
181	0.4585942999
182	0.4584253853
183	0.4581927888
184	0.4580830473
185	0.4579055639
186	0.4576592246
187	0.4575622924
188	0.4574671894
189	0.4573323531
190	0.4572763481
191	0.4571045749
192	0.4569937593
193	0.45680321
194	0.4567340919
195	0.4566354625
196	0.4564331815
197	0.4563594725
198	0.4561184107
199	0.4559870105
200	0.4558917609
201	0.4557305159
202	0.455667862
203	0.4555873777
204	0.4554984742
205	0.4551640291
206	0.4550623038
207	0.4549169134
208	0.454813628
209	0.4547100307
210	0.4545832157
211	0.4542442246
212	0.4541565467
213	0.4540227597
214	0.4538852028
215	0.4537486242
216	0.4536277973
217	0.453563841
218	0.4534466422
219	0.4533320538
220	0.4532800532
221	0.4531241381
222	0.4529697982
223	0.4529047336
224	0.4527759667
225	0.4526807717
226	0.4524237193
227	0.4523469335
228	0.4522550647
229	0.4521459207
230	0.4520176791
231	0.4518607636
232	0.4516677112
233	0.4515466123
234	0.4513483168
235	0.4512356506
236	0.4510712796
237	0.4509887104
238	0.4509405062
239	0.4508502405
240	0.4507806491
241	0.4506865232
242	0.4505705839
243	0.4504829859
244	0.4503573017
245	0.4502462259
246	0.4501518281
247	0.4501350476
248	0.4500408665
249	0.4499308831
250	0.4498615656
251	0.4497136902
252	0.4496160451
253	0.4495392617
254	0.4494697093
255	0.4493726883
256	0.4493399837
257	0.4492208867
258	0.4489938137
259	0.4489097639
260	0.4488093771
261	0.4486615642
262	0.4486087036
263	0.4485420521
264	0.4484319487
265	0.4481995102
266	0.448093888
267	0.4480137028
268	0.4479126338
269	0.4477980267
270	0.4477539226
