iter	Passed	Remaining
0	3	3719
1	7	3538
2	10	3444
3	13	3283
4	16	3275
5	19	3255
6	22	3211
7	25	3180
8	29	3202
9	32	3193
10	35	3191
11	38	3189
12	41	3169
13	45	3171
14	48	3157
15	51	3152
16	54	3131
17	57	3133
18	60	3141
19	63	3123
20	66	3117
21	70	3112
22	73	3128
23	76	3120
24	79	3109
25	82	3106
26	86	3104
27	89	3100
28	92	3092
29	95	3086
30	98	3087
31	102	3090
32	105	3094
33	108	3087
34	112	3103
35	115	3097
36	118	3086
37	121	3076
38	124	3071
39	127	3061
40	130	3054
41	134	3067
42	137	3057
43	140	3048
44	143	3048
45	146	3042
46	149	3041
47	152	3031
48	155	3023
49	158	3018
50	162	3017
51	165	3012
52	169	3020
53	172	3026
54	175	3023
55	178	3014
56	181	3010
57	184	3002
58	187	2996
59	190	2991
60	193	2984
61	197	2987
62	200	2980
63	203	2982
64	207	2979
65	210	2974
66	213	2976
67	217	2981
68	220	2975
69	224	2976
70	227	2977
71	230	2975
72	233	2971
73	237	2974
74	241	2974
75	244	2967
76	248	2973
77	250	2966
78	253	2960
79	256	2954
80	260	2951
81	263	2952
82	267	2951
83	270	2945
84	273	2945
85	276	2942
86	280	2942
87	283	2935
88	286	2929
89	289	2927
90	292	2926
91	296	2926
92	299	2918
93	302	2912
94	305	2909
95	308	2905
96	312	2906
97	316	2915
98	320	2913
99	323	2912
100	327	2917
101	332	2926
102	336	2929
103	339	2928
104	343	2929
105	347	2933
106	351	2930
107	354	2925
108	357	2922
109	361	2923
110	365	2926
111	368	2919
112	371	2916
113	375	2916
114	379	2922
115	383	2920
116	386	2915
117	389	2912
118	393	2912
119	397	2917
120	400	2910
121	404	2910
122	407	2905
123	411	2905
124	414	2902
125	417	2895
126	420	2888
127	424	2891
128	428	2896
129	432	2892
130	435	2886
131	437	2877
132	440	2872
133	444	2875
134	449	2878
135	452	2875
136	455	2870
137	459	2869
138	463	2870
139	466	2865
140	470	2863
141	473	2863
142	478	2865
143	481	2861
144	484	2856
145	487	2852
146	491	2850
147	495	2852
148	498	2847
149	501	2841
150	504	2836
151	508	2837
152	512	2836
153	515	2831
154	518	2827
155	521	2823
156	526	2825
157	529	2822
158	533	2819
159	536	2814
160	539	2811
161	543	2812
162	546	2807
163	549	2802
164	553	2801
165	559	2810
166	563	2810
167	567	2812
168	572	2813
169	576	2813
170	579	2809
171	582	2803
172	585	2798
173	589	2798
174	593	2797
175	596	2793
176	599	2787
177	602	2783
178	607	2786
179	611	2786
180	614	2781
181	618	2779
182	622	2779
183	625	2776
184	629	2774
185	632	2770
186	636	2765
187	641	2772
188	645	2770
189	649	2769
190	653	2769
191	658	2769
192	684	2863
193	710	2950
194	714	2949
195	727	2985
196	731	2981
197	735	2977
198	738	2973
199	741	2967
200	744	2960
201	747	2954
202	751	2950
203	755	2947
204	758	2940
205	761	2933
206	764	2928
207	768	2926
208	772	2922
209	774	2915
210	777	2909
211	780	2902
212	785	2900
213	788	2896
214	791	2891
215	794	2885
216	797	2879
217	802	2877
218	805	2872
219	808	2866
220	811	2861
221	815	2856
222	818	2853
223	822	2847
224	825	2841
225	828	2835
226	831	2831
227	834	2827
228	838	2822
229	841	2816
230	844	2811
231	848	2808
232	851	2803
233	854	2797
234	858	2793
235	861	2789
236	865	2785
237	869	2783
238	872	2778
239	875	2773
240	878	2767
241	883	2766
242	886	2761
243	889	2756
244	892	2751
245	895	2745
246	900	2745
247	903	2739
248	906	2734
249	909	2729
250	913	2726
251	916	2720
252	919	2715
253	922	2710
254	926	2706
255	929	2701
256	932	2696
257	935	2690
258	938	2685
259	941	2681
260	945	2676
261	948	2672
262	951	2666
263	954	2660
264	957	2656
265	960	2651
266	964	2647
267	967	2641
268	970	2637
269	974	2633
270	977	2628
271	980	2624
272	983	2619
273	987	2616
274	990	2610
275	993	2605
276	996	2600
277	999	2595
278	1002	2590
279	1005	2585
280	1008	2581
281	1011	2576
282	1015	2571
283	1018	2566
284	1021	2562
285	1024	2557
286	1027	2553
287	1030	2548
288	1034	2545
289	1037	2540
290	1040	2535
291	1044	2531
292	1047	2526
293	1050	2522
294	1054	2519
295	1057	2514
296	1061	2512
297	1064	2508
298	1067	2503
299	1071	2499
300	1074	2496
301	1079	2493
302	1082	2490
303	1085	2485
304	1088	2481
305	1092	2478
306	1097	2477
307	1100	2472
308	1103	2468
309	1107	2464
310	1111	2462
311	1115	2459
312	1118	2454
313	1121	2450
314	1125	2448
315	1130	2445
316	1133	2441
317	1136	2438
318	1140	2435
319	1144	2432
320	1148	2428
321	1151	2424
322	1154	2419
323	1158	2416
324	1162	2413
325	1165	2408
326	1168	2404
327	1171	2400
328	1175	2396
329	1178	2393
330	1182	2389
331	1185	2384
332	1189	2382
333	1193	2379
334	1196	2375
335	1199	2370
336	1203	2367
337	1207	2364
338	1211	2361
339	1214	2356
340	1217	2352
341	1220	2348
342	1225	2346
343	1228	2342
344	1231	2338
345	1235	2334
346	1239	2331
347	1242	2328
348	1245	2323
349	1248	2318
350	1252	2315
351	1256	2312
352	1260	2309
353	1263	2305
354	1265	2300
355	1268	2295
356	1272	2292
357	1276	2289
358	1280	2285
359	1283	2282
360	1287	2278
361	1291	2276
362	1294	2272
363	1298	2269
364	1301	2264
365	1306	2262
366	1309	2258
367	1312	2254
368	1315	2249
369	1318	2245
370	1322	2242
371	1326	2238
372	1329	2234
373	1332	2230
374	1336	2226
375	1340	2223
376	1343	2219
377	1346	2214
378	1349	2210
379	1353	2207
380	1357	2205
381	1360	2201
382	1363	2196
383	1366	2192
384	1371	2190
385	1374	2186
386	1377	2182
387	1381	2178
388	1384	2175
389	1388	2172
390	1392	2168
391	1395	2163
392	1398	2159
393	1402	2157
394	1406	2153
395	1409	2150
396	1413	2146
397	1416	2142
398	1420	2139
399	1424	2136
400	1427	2132
401	1430	2128
402	1434	2124
403	1438	2121
404	1441	2117
405	1444	2113
406	1447	2109
407	1452	2106
408	1455	2103
409	1458	2099
410	1461	2094
411	1464	2090
412	1468	2087
413	1472	2083
414	1475	2079
415	1478	2074
416	1481	2071
417	1485	2068
418	1488	2064
419	1491	2060
420	1494	2056
421	1498	2051
422	1502	2049
423	1505	2045
424	1508	2041
425	1512	2037
426	1516	2034
427	1520	2031
428	1523	2027
429	1525	2022
430	1529	2019
431	1533	2016
432	1536	2012
433	1539	2008
434	1542	2003
435	1545	1999
436	1550	1997
437	1554	1994
438	1558	1991
439	1562	1988
440	1566	1986
441	1570	1983
442	1574	1979
443	1578	1976
444	1582	1973
445	1586	1971
446	1590	1967
447	1594	1965
448	1599	1962
449	1603	1959
450	1607	1956
451	1610	1952
452	1615	1951
453	1619	1948
454	1623	1944
455	1627	1941
456	1632	1939
457	1635	1935
458	1639	1932
459	1643	1929
460	1648	1927
461	1651	1923
462	1655	1919
463	1659	1916
464	1664	1915
465	1668	1912
466	1672	1908
467	1676	1905
468	1681	1903
469	1685	1900
470	1688	1896
471	1692	1893
472	1697	1891
473	1701	1888
474	1705	1885
475	1710	1882
476	1715	1880
477	1719	1877
478	1723	1874
479	1728	1872
480	1732	1868
481	1736	1865
482	1740	1862
483	1744	1860
484	1748	1856
485	1751	1852
486	1755	1849
487	1760	1847
488	1765	1844
489	1769	1841
490	1772	1837
491	1777	1835
492	1781	1832
493	1784	1828
494	1788	1824
495	1793	1822
496	1797	1819
497	1801	1815
498	1804	1812
499	1810	1810
500	1814	1807
501	1818	1804
502	1822	1800
503	1827	1798
504	1831	1795
505	1835	1792
506	1839	1789
507	1844	1786
508	1848	1782
509	1852	1779
510	1856	1776
511	1860	1773
512	1864	1769
513	1868	1766
514	1872	1763
515	1876	1760
516	1880	1756
517	1884	1753
518	1888	1750
519	1892	1746
520	1896	1743
521	1900	1740
522	1904	1736
523	1908	1733
524	1912	1729
525	1915	1726
526	1919	1722
527	1923	1719
528	1927	1716
529	1932	1713
530	1935	1709
531	1940	1707
532	1944	1703
533	1948	1700
534	1952	1696
535	1956	1693
536	1960	1690
537	1964	1686
538	1968	1683
539	1973	1680
540	1976	1677
541	1980	1673
542	1984	1670
543	1988	1667
544	1992	1663
545	1997	1660
546	2001	1657
547	2005	1653
548	2009	1650
549	2012	1646
550	2016	1643
551	2020	1639
552	2023	1635
553	2027	1632
554	2031	1628
555	2035	1625
556	2038	1621
557	2042	1617
558	2045	1613
559	2049	1610
560	2053	1606
561	2056	1603
562	2060	1599
563	2063	1595
564	2067	1591
565	2070	1587
566	2074	1584
567	2078	1580
568	2082	1577
569	2086	1574
570	2090	1570
571	2094	1567
572	2097	1563
573	2101	1559
574	2105	1556
575	2109	1552
576	2113	1549
577	2117	1545
578	2120	1542
579	2125	1538
580	2128	1535
581	2133	1532
582	2137	1528
583	2141	1525
584	2145	1521
585	2149	1518
586	2153	1515
587	2157	1511
588	2161	1508
589	2165	1504
590	2168	1500
591	2172	1496
592	2175	1493
593	2179	1489
594	2183	1486
595	2187	1482
596	2191	1479
597	2194	1475
598	2198	1471
599	2202	1468
600	2205	1464
601	2209	1460
602	2213	1457
603	2218	1454
604	2221	1450
605	2225	1446
606	2228	1442
607	2232	1439
608	2236	1436
609	2240	1432
610	2244	1429
611	2248	1425
612	2251	1421
613	2255	1418
614	2259	1414
615	2263	1410
616	2266	1406
617	2270	1403
618	2274	1400
619	2278	1396
620	2282	1393
621	2286	1389
622	2290	1386
623	2294	1382
624	2298	1379
625	2301	1375
626	2305	1371
627	2308	1367
628	2312	1364
629	2316	1360
630	2319	1356
631	2323	1352
632	2326	1348
633	2330	1345
634	2333	1341
635	2337	1337
636	2341	1334
637	2345	1330
638	2348	1326
639	2351	1322
640	2354	1318
641	2358	1315
642	2362	1311
643	2366	1307
644	2369	1303
645	2372	1300
646	2376	1296
647	2380	1293
648	2383	1289
649	2387	1285
650	2391	1282
651	2395	1278
652	2400	1275
653	2404	1271
654	2407	1268
655	2411	1264
656	2415	1260
657	2419	1257
658	2423	1253
659	2427	1250
660	2431	1246
661	2435	1243
662	2438	1239
663	2442	1236
664	2446	1232
665	2450	1228
666	2453	1224
667	2457	1221
668	2460	1217
669	2464	1213
670	2467	1209
671	2470	1205
672	2473	1201
673	2477	1198
674	2481	1194
675	2486	1191
676	2490	1188
677	2493	1184
678	2497	1180
679	2500	1176
680	2504	1173
681	2508	1169
682	2512	1165
683	2515	1162
684	2519	1158
685	2522	1154
686	2526	1151
687	2530	1147
688	2534	1143
689	2538	1140
690	2542	1136
691	2546	1133
692	2550	1129
693	2554	1126
694	2557	1122
695	2561	1118
696	2564	1115
697	2568	1111
698	2571	1107
699	2574	1103
700	2577	1099
701	2581	1095
702	2584	1092
703	2588	1088
704	2592	1084
705	2596	1081
706	2599	1077
707	2603	1073
708	2606	1069
709	2610	1066
710	2613	1062
711	2617	1058
712	2620	1054
713	2623	1050
714	2626	1046
715	2629	1042
716	2632	1039
717	2635	1035
718	2639	1031
719	2642	1027
720	2645	1023
721	2649	1020
722	2652	1016
723	2655	1012
724	2658	1008
725	2661	1004
726	2664	1000
727	2668	996
728	2671	993
729	2675	989
730	2679	985
731	2682	981
732	2684	978
733	2688	974
734	2691	970
735	2694	966
736	2697	962
737	2700	958
738	2704	955
739	2707	951
740	2710	947
741	2713	943
742	2716	939
743	2720	935
744	2723	932
745	2726	928
746	2729	924
747	2732	920
748	2735	916
749	2738	912
750	2742	909
751	2745	905
752	2748	901
753	2751	897
754	2754	893
755	2757	890
756	2761	886
757	2764	882
758	2766	878
759	2769	874
760	2773	870
761	2776	867
762	2779	863
763	2783	859
764	2786	855
765	2789	852
766	2792	848
767	2795	844
768	2798	840
769	2802	837
770	2805	833
771	2808	829
772	2811	825
773	2814	821
774	2817	818
775	2820	814
776	2823	810
777	2826	806
778	2829	802
779	2832	798
780	2835	795
781	2838	791
782	2841	787
783	2845	783
784	2848	780
785	2851	776
786	2854	772
787	2857	768
788	2860	765
789	2864	761
790	2869	758
791	2872	754
792	2877	751
793	2882	747
794	2885	744
795	2888	740
796	2891	736
797	2895	732
798	2898	729
799	2901	725
800	2904	721
801	2908	718
802	2911	714
803	2914	710
804	2918	706
